Id,Point
8080,"53.1966,-1.9022"
8081,"52.5425,-1.69708"
8082,"52.635,-1.94527"
8083,"52.5791,-1.53228"
8084,"52.5305,-1.38259"
8085,"52.4076,-1.78488"
8086,"53.0173,-1.98086"
8087,"52.4193,-1.99083"
8088,"52.3995,-2.05079"
8089,"53.1222,-2.01085"
8090,"52.8301,-1.60766"
8091,"52.8072,-1.88987"
8092,"52.6153,-2.15213"
8093,"52.7309,-1.57079"
8094,"52.7019,-2.11878"
8095,"52.1789,-2.41235"
8096,"52.3385,-2.54299"
8097,"52.2219,-2.1756"
8098,"52.8065,-2.49822"
8099,"52.5417,-2.19314"
8100,"52.5963,-2.47148"
8111,"53.1303,-1.23877"
8112,"52.7362,-1.99399"
8113,"52.4899,-1.86666"
8114,"53.5913,-.73964"
8115,"52.688,-1.79727"
8117,"53.0321,-1.05067"
8118,"52.9483,-1.08867"
8119,"53.0222,-1.41734"
8120,"53.0055,-1.25125"
8121,"52.7229,-.76556"
8122,"52.5448,-1.03158"
8123,"52.6976,-1.11728"
8124,"52.7316,-.99575"
8125,"52.7386,-1.32055"
8126,"52.7879,-1.09825"
8127,"53.2255,-1.70082"
8128,"53.4851,-.77519"
8129,"52.6553,-1.30352"
8130,"53.223,-1.11595"
8131,"53.0788,-.86707"
8132,"52.8129,-.80322"
8133,"53.231,-.80673"
8134,"52.959,-1.57866"
8135,"52.8979,-1.36073"
8136,"53.3118,-1.89804"
8137,"53.1049,-2.1552"
8139,"53.1345,-1.43331"
8140,"53.2881,-1.57918"
8141,"53.4055,-1.73882"
8142,"52.9016,-1.86168"
8143,"52.9046,-2.37758"
8144,"52.953,-2.04028"
8145,"52.6907,-.92138"
8146,"52.9992,-1.06808"
8147,"52.5641,-1.20036"
8148,"53.396,-.9316"
8149,"52.8975,-.9106"
8150,"53.3054,-1.08829"
8151,"53.5208,-1.04551"
8152,"53.0771,-1.18985"
8153,"52.8365,-1.25119"
8170,"51.7773,-2.09301"
8171,"51.1379,.45865"
8174,"51.308,-.16086"
8176,"51.1178,-3.34945"
8183,"50.8813,-4.15354"
8184,"51.8863,-1.15723"
8190,"51.0235,-.55272"
8191,"51.6766,.23517"
8192,"51.0841,-.21416"
8193,"51.2877,-.33792"
8194,"51.2257,-.77553"
8195,"51.1027,-1.5629"
8196,"51.2801,-.63586"
8197,"50.6712,-1.39993"
8200,"51.2183,-1.47303"
8201,"51.3067,.10179"
8203,"50.6404,-4.67518"
8212,"51.3497,.00897"
8213,"51.2562,-.56606"
8214,"51.292,-1.03621"
8216,"51.0071,.97778"
8226,"50.5096,-4.56875"
8232,"51.0165,-3.82189"
8245,"50.3914,-3.70075"
8246,"50.6015,-3.53167"
8247,"51.1612,-3.76895"
8248,"51.0451,-2.41318"
8250,"51.1303,-3.53481"
8251,"50.98512,-3.66181"
8252,"50.7756,-3.71833"
8253,"51.1557,-3.94035"
8258,"50.6604,-4.35946"
8263,"51.3881,-1.53015"
8282,"50.8599,-.4839"
8283,"50.9289,-.47028"
8284,"50.9287,-.3849"
8285,"50.9864,-.26892"
8286,"50.8934,.08028"
